title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Dracula: The Undead","","Region Not Set","","","Atari","1991-08-01","","No","Horror","","You must escape Dracula's sinister castle, find the dark one and drive a stake through his heart. To escape, you must explore the castle and learn its secrets. If you fail, you will join Dracula's brides for dinner, and guess who's the main course!"
"Dragnet","Dragnet: Los Angeles Police","Region Not Set","","","Bastian Schick","1995-01-01","","No","Music","","Prototype game."
"Electrocop","","Region Not Set","","","Atari","1989-08-09","","No","Action","","The Criminal Brain has kidnapped the President's daughter and threatens to kill her if he does not get control of the world. Only you, Electrocop, can invade the Steel Complex where evil robots and dangerous traps protect the Criminal Brain.
The odds are against you. Your only hope is to find the weapons and computer terminals hidden in the mazes of the Criminal Brain's fortress.
Can you save the President's daughter and serve justice to the world's most wicked criminal? It's your sworn duty as an officer of the law."
"European Soccer Challenge","","Region Not Set","","","Telegames, Inc.","1993-08-11","","No","Sports","","European Soccer Challenge gives you all the excitement and tension of the European Challenge Cup in this action packed version of the world's most popular game featuring over 170 teams from 32 countries. Has your team got what it takes?"
"Eye of the Beholder","","Region Not Set","","","Atari","1993-08-05","","No","Role-Playing","","Put your best fighters up front. Battle Axe wielding Skeletons are among the first horrors you'll encounter in 13 levels of mayhem. Will they be the last? These flinds aren't your friends. And they like to hunt in packs! Ever met a Kuo-Toa? It's an electrifying experience. Even more shocking is The Beholder himself, if you survive long enough to meet him. Don't forget to look behind you! Giant spiders like to watch you pass, then strike."
"Fat Bobby","","Region Not Set","","","Telegames, Inc.","1997-08-06","","No","Action","","Fat Bobby is an Action game, developed and published by Telegames, Inc., which was released in 1997."
"Fidelity Ultimate Chess Challenge","Fidelity Ultimate Chess Challenge |  The","Region Not Set","","","Telegames, Inc.","1991-08-01","","No","Puzzle","","On your own against the Fidelity Ultimate Chess Challenge - the world's most powerful hand-held chess game - or against a friend, the stunning 3D graphics and advanced technology of this latest game from Telegames has to be played to be believed.
The Fidelity Ultimate Chess Challenge uses the most powerful chess playing technology from the laboratories of Fidelity - the premier manufacturers of dedicated chess computers are developers of the world's only USCF certified Master rated (2325) chess program.
Switch from 3D to overhead view for the final attack - or use one of the many options available to review the game to date.
Full on-screen statistics giving score, times, moves etc. and many other features on this the world's fastest color hand-held chess game."
"Gates of Zendocon","","Region Not Set","","","Atari","1989-08-02","","No","Shooter","","The hideous spider Zendocon captured you and sent you deep into its web of 51 deadly universes. You must survive each universe and its hostile alien inhabitants if you hope to return home.
You will find allies along the way. If you can free Zendocon's alien slaves, they will help you search for the Gates that will transport you from one universe to the next.
Can you survive Zendocon's challenge? You must survive! Your rewards for success is the chance for sweet revenge--a duel to the death with the evil spider itself!"
"Gates of Zendocon (Alt Box)","","Other","","Atari, Inc.","Epyx","1989-08-02","1","No","Shooter","E - Everyone","The hideous spider Zendocon captured you and sent you deep into its web of 51 deadly universes. You must survive each universe and its hostile alien inhabitants if you hope to return home.
You will find allies along the way. If you can free Zendocon's alien slaves, they will help you search for the Gates that will transport you from one universe to the next.
Can you survive Zendocon's challenge? You must survive! Your rewards for success is the chance for sweet revenge--a duel to the death with the evil spider itself!"
"Gates of Zendocon (Big Box)","","Other","","Atari, Inc.","Epyx","1989-08-02","1","No","Shooter","E - Everyone","The hideous spider Zendocon captured you and sent you deep into its web of 51 deadly universes. You must survive each universe and its hostile alien inhabitants if you hope to return home.
You will find allies along the way. If you can free Zendocon's alien slaves, they will help you search for the Gates that will transport you from one universe to the next.
Can you survive Zendocon's challenge? You must survive! Your rewards for success is the chance for sweet revenge--a duel to the death with the evil spider itself!"
"Gauntlet: The Third Encounter","","Region Not Set","","","Atari","1990-08-01","","No","Fighting","","Generations ago an enchanted Star Gem crashed to Earth at the base of an ancient castle. Loathsome creatures crept from the castle and carried the Gem into the depths of the fortress.
All attempts to retrieve the Star Gem failed. The adventurers were destroyed.
The creatures in the castle gain magical strength from the Star Gem. Unless the Gem is taken from them, the evil ones will soon have the strength to venture forth and destroy mankind! You and your friends must take up the quest to rescure the Star Gem...and your world!"
"Gordo 106","Gordo 106: The Mutated Lab Monkey | Gordo No. 106: The Mutated Lab Monkey","Region Not Set","","","Atari","1993-08-04","","No","Adventure","","Gordo, the laboratory monkey, is free of cage 106, but his adventure of escape and revenge is just beginning. Even with super-monkey intelligence, he needs your help to explore the lab's six levels, freeing his captive friends and destroying evil scientists in his fight for freedom."
"Hard Drivin'","","Region Not Set","","","Atari","1991-08-01","","No","Racing","","Make sure you're strapped in tight--because Hard Drivin' means just that! Can you beat the clock on the hottest track going? Can you handle jumps, loops, and other stunts and still survive? Can you keep your speed at max without crashing? Yeah? Ok--but--can you take the title away from the Phantom Photon, the Hard Drivin' world's champion?"
"Hockey","","Region Not Set","","","Atari","1992-08-05","","No","Sports","","Hockey is a Sports game, published by Atari, which was released in 1992."
"Hydra","","Region Not Set","","","Atari","1992-08-05","","No","Shooter","","Someone has to be a hero, and it might as well be you. In your super-advanced speedboat, you must deliver top-secret military equipment to various parts of the world. Fame and riches await you -- but so do pitfalls and danger!"
"Hyperdrome","","Other","","","","1999-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"Ishido: The Way of Stones","","Region Not Set","","","Atari","1991-08-01","","No","Role-Playing","","Introducing Ishido, the ancient and intricate Game of the Stones. You must place stones on the game board, matching colors and patterns according to centuries-old rules. It requires great skill and concentration--but if you can unlock the secret of the Oracle, its wisdom will help you!"
"Jimmy Connors' Tennis","","Region Not Set","","","","1993-08-01","1","No","Sports","Not Rated","Jimmy Connors' Tennis is a Sports game, published by Atari, which was released in 1993."
"Joust","","Region Not Set","","","Shadowsoft","1992-08-06","","No","Fighting","","You don a suit of armor, choose your weapon-a worn but sturdy lance. You climb onto a cyborg ostrich, grab the reins of your faithful mount and fly off to wage battle against the enemy.

In the distance you see an enemy vulture appear on a creator pad. You ready your lance and prepare to do battle. As you draw close to the enemy Bounder, you rise above him and prepare to defeat him with a quick swooping attack. You sweep down from the sky and dismount the enemy rider with a powerful blow. You have defeated the enemy...this time."
"KLAX","","NTSC-U","United States of America","","Atari","1990-08-02","2","No","Puzzle","Not Rated","Get set for Arcade Action in living color. In Klax, capture the colored tiles and flip them into stack. Create a Klax by matching 3 or more colored tiles. The pace quickens ... you've got to move fast but beware, once you start, you'll never want to stop."
"Krazy Ace Miniature Golf","","Region Not Set","","","","1993-01-01","1","No","Sports","Not Rated","Krazy Ace Miniature Golf is a Sports game, developed and published by Telegames, Inc., which was released in 1993."
"Kung Food","","Region Not Set","","Atari, Inc.","Lore Games","1992-05-08","1","No","Action","","The ultimate food fight! Mutant munchies from your freezer invade your kitchen, your life, and your world. Speed and your martial arts skills are required to overcome the vicious veggies!"
"Lemmings","","Region Not Set","","Psygnosis Limited","DMA Design Limited","1993-01-01","","No","Puzzle","","They climb, they dig, they explore...but they can't fly! As the only member of the Save The Lemmings Foundation, it's your job to guide these munchkins to safety before they realize they have no landing gear."
"Lexis","","NTSC","","Songbird Productions","Shadowsoft","1999-10-01","1","No","Puzzle","Not Rated","Lexis is an amazing twist on the classic “falling blocks” game concept. Try to spell words from falling letters. Spell multiple words simultaneously to score big points. And wait — do some words have secret effects on the game? Get Lexis and find out!"
"Lode Runner","","Region Not Set","","Broderbund Software, Inc.","","2008-07-16","1","No","Puzzle | Platform","E - Everyone","This version of Lode Runner is a homebrew port of the Apple version of Lode Runner. The game contains all 150 levels and is a very faithful version of the popular game."
"Loopz","","Region Not Set","","Songbird Productions","Songbird Productions","2004-10-01","2","No","Puzzle","Not Rated","Loopz is a puzzle game developed by Rob Nicholson and Published by Songbird Productions.  It was released in 2004."
"Lynx Casino","","Region Not Set","","","Atari","1992-08-05","","No","Puzzle","","Ever wish you could take a thousand dollars and head for Vegas, Monaco, or a Caribbean cruise? Here's the next best thing! Five exciting games in one give you the real feel of a high-roller's favorite casino!"
"Lynx II Production Test","","Region Not Set","","","","1989-01-01","1","No","","Not Rated","No overview is currently available for this title, please feel free to add one."
"Lynx II Production Test Program","","Other","","Atari Games","Atari","1991-01-01","1","No","Unofficial","Not Rated","The Lynx II Production Test Program is a specialized diagnostic and validation utility developed for the Atari Lynx II handheld system, designed to assist in hardware testing, factory calibration, and production verification. Featuring a suite of low-level system checks for display, audio, controls, cartridge communication, and power functions, the program was intended for engineering and manufacturing environments rather than retail release. Styled after authentic Atari development media, it represents the kind of internal software used during the final stages of Lynx II production and quality assurance."
"Malibu Bikini Volleyball","","Region Not Set","","Atari, Inc.","Hand Made Software","1993-05-13","4","No","Sports","","Welcome to Malibu: Volleyball capital of the world. This is where the best come to play--and show off their tans. If you want in, sign up. But keep your eyes on the ball...there'll be plenty of time for bikini-watching after the match!"
"Marlboro Go!","","Region Not Set","","Unreleased (Prototype)","Digital Image Design Ltd.","1993-08-04","","No","Racing","","Prototype.  Never released."
"MegaPak Vol. 1","","Region Not Set","","Songbird Productions","","2019-04-01","1","No","Unofficial","Not Rated","No overview is currently available for this title, please feel free to add one."
"Ms. Pac-Man","Ms. PacMan | Miss Pac-Man","Region Not Set","","Atari, Inc.","Atari","1990-01-01","1","No","Action","","With classic style and tradition, Ms. Pac-Man munches her way through maze after maze. She will consume all the dots in a level before she can progress to the next level. That can be pretty tough though, because at the same time she must dodge those devious gobbling ghosts!"
"NFL Football","","Region Not Set","","","","1992-12-31","1","No","Sports","Not Rated","NFL Football is a Sports game, developed by Blue Sky Software and published by Atari, which was released in 1992."
"Ninja Gaiden","","Region Not Set","","Atari, Inc.","BlueSky Software","1991-02-15","1","No","Action","","Now the adventure and thrill of this fast-paced, action-packed coin-op hit is placed in your hands! Kick, punch, and master the special Ninjutsu techniques as you battle your way through four of the nastiest neighborhoods known to man."
"Ninja Gaiden III: Ancient Ship of Doom","","Region Not Set","","Atari, Inc.","Tecmo","1991-07-18","1","No","Action","","Immerse yourself in action-acked Ninja adventure as you help Ryu through his greatest challenge. Battle the hideous ancient forces of darkness to save mankind, with the epic adventure unfolding as you complete each level."
"Odynexus","","NTSC","United States of America","AtariAge","","2024-01-01","1","No","Shooter","Not Rated","In a distant future, Odynexus set out on a journey to the stars. His travels led him to the vicinity of the planet Troya, where mechanical, godlike creatures were capturing all the starships navigating around it. Odynexus defeated them one by one, until he was able to destroy PRIAM, the sentient AI who controlled them.

Poseidon, the eternal god of the cosmic ocean, was angry, as PRIAM was his creation. But he was also a vengeful god, and he vowed to punish Odynexus for his actions.

Now on his way back to Ithaca, his home, Odynexus explores new worlds, makes new friends, and learns about the universe. But before he can meet his wife Penelope again, he still has to face the most terrible dangers: sentient machines, the electronic demigods that Poseidon is sending his way."
"Pac-Land","","Region Not Set","","","Atari","1991-08-01","","No","Adventure","","Pac-Man, the world's most famous game character is back! Help Pac-Man guide the Fairy back to her home in Fairy Land, but watch out - those mischievous ghosts are out to stop you once again! Use the Magic Shoes to help get Pac-Man back to his own home in 16 different rounds with multiple trips in each round, eating Power Pellets and bonus Fruit along the way. Fast, frantic, addictive Pac-Man action from beginning to end!"
"Paperboy","","Region Not Set","","Atari, Inc.","Atari","1990-01-01","1","No","Action","E - Everyone","The object of Paperboy is to deliver papers to your customers while inflicting as much damage as possible to the houses of your non-customers. To make things more difficult, numerous obstacles get in your way including construction workers, rogue tires, skateboarders, dogs and cats, cars, and even the occasional tornado."
"Pinball Jam","","Region Not Set","","Atari, Inc.","Atari","1990-01-01","1","No","Action","","Pinball Jam is a Lynx conversion of two pinball tables: ""Elvira and the Party Monsters"" (Midway, 1989), and ""Police Force"" (Williams, 1989). Both feature authentic table layouts, targets, and bonuses; the conversion of Elvira and the Party Monsters also features digitized sound effects, including the voice of Cassandra Peterson (Elvira).

Each table scrolls up and down during gameplay (as opposed to just ""snapping"" to a new area as the ball reaches it)."
"Pit Fighter","","Region Not Set","","Atari, Inc.","Atari","1991-01-01","2","No","Fighting","","Pit-Fighter is a 3rd-person fight game that features digitized graphics of real fighters and zooming effects. Players select one of three fighters (Buzz, Ty or Kato) to take on anyone who dares. At the conclusion of a match, players are individually awarded a Knockout Bonus, Brutality Bonus, and a Fight Purse. Every third match is a Grudge Match where players test the skills of each other. The last man standing is the winner of this three-knockdown match. Players fight their way to the Elimination Match to decide who wins the opportunity to dethrone the champion, the Masked Warrior."
"Ponx","","NTSC","","Songbird Productions","","1999-06-18","2","No","Sports","Not Rated","Ponx brings the ball-and-paddle favorite that started it all to the Atari Lynx! But this isn't your ordinary game. You can select a play field color and the number of balls in play. Try adjusting the difficulty level of the Lynx controlled opponent, or in a throwback to classic handheld gaming, play against a friend on the same Lynx unit (no comlynx cable or second Ponx cartridge necessary)! Ponx will keep you occupied for many fun and furious hours of play."
"Power Factor","","Region Not Set","","Atari, Inc.","Hand Made Software","1992-03-05","1","No","Action","","Transdimensional intruders from the Ceeg dimension have invaded our space. Only Redd Ace, with his TRANSMAT Multi-Ordinance Weapon, can enter our dimension's reactor and find the six bomb components needed to destroy the Ceegarians."
"QIX","","Region Not Set","","Telegames, Inc.","Knight Technologies","1991-01-01","2","No","Action","","The objective of Qix is to fence off, or “claim”, a supermajority of the playfield. At the start of each level, the playing field is a large, empty rectangle, containing the Qix — a sticklike entity that performs graceful but unpredictable motions within the confines of the rectangle.

The player controls a Stix that can move around the edges of the rectangle. Holding down one of the draw buttons allows the marker to move into unclaimed territory in an attempt to create a closed shape. If completed, the captured area (defined as the side opposite of where the Qix is) becomes filled in with a solid color and points are awarded. To complete a level, the player must claim 75% of the playfield (adjustable by the arcade operator to be between 50% and 90%).

The player's marker can move at two different speeds; areas drawn exclusively at the slower speed (orange-red on the screenshot shown) are worth double points. It cannot cross or backtrack along a line in progress.

A life is lost if the Qix touches a line as it is being drawn or if the marker is touched by any of the Sparx – enemies that traverse all playfield edges except uncompleted lines. In addition, if the marker stops while drawing a line, a fuse will appear and burn along the uncompleted line toward the marker; if it reaches the marker, the player loses one life. The fuse disappears once the player moves the marker again. The player has no defenses against the enemies and must out-maneuver them in order to survive.

A meter at the top of the screen counts down to the release of additional Sparx, and the mutation of all Sparx into Super Sparx which can chase the player up an uncompleted line.

After the player completes two levels, the difficulty increases by the inclusion of multiple Qixes, additional Sparx, speed increases, and the eventual appearance of only Super Sparx. In levels with multiple Qixes, the player can also complete the level by splitting the playfield into two regions, each containing at least one Qix."
"Raiden","","Region Not Set","","Telegames, Inc.","Seibu Kaihatsu Inc.","1997-10-20","2","Yes","Shooter","","In the year 2090, Earth has suddenly become the target of deranged aliens known as the Cranassians. Following the invasion, the World Alliance Military builds a new cutting-edge weapon, the Raiden Supersonic Attack Fighter. Based on a captured alien craft, it is humanity's only hope for survival."
"Rampage","","Region Not Set","","Atari, Inc.","Epyx","1991-01-01","4","No","Action","","Up to three simultaneous players control the monsters George (a King Kong-like gorilla), Lizzie (a Godzilla-like dinosaur/lizard), or Ralph (a giant werewolf), created from mutated humans. When they were humans, George was a normal middle aged man, Lizzie was a young woman, and Ralph was an elderly man. They were experimented on at Scumlabs. As monsters, they need to raze all buildings in a high-rise city to advance to the next level, eating people and destroying helicopters, tanks, taxis, police cars, boats, and trolleys along the way.

The Atari Lynx version adds a special fourth character named Larry, a giant rat."
