id,title,region,release_date,platform,image_url
"","8 Eyes","1990-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/316-1.jpg"
"","8-bit ADV Steins;Gate","NTSC																		(United States of America)","2019-02-19","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/124306-1.jpg"
"","8-Bit Hero Trainer","Other","2015-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106663-1.jpg"
"","8-Bit Slasher 4-in-1 Horror Demakes","NTSC																		(United States of America)","2023-06-13","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/116202-1.jpg"
"","8-BIT XMAS 2008","2008-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74968-1.jpg"
"","8-BIT XMAS 2009","2009-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74969-1.jpg"
"","8-BIT XMAS 2010","2010-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74971-1.jpg"
"","8-BIT XMAS 2011","NTSC																		(United States of America)","2011-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74972-1.jpg"
"","8-BIT XMAS 2012","2012-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74973-1.jpg"
"","8-BIT XMAS 2013","2013-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74974-1.jpg"
"","8-BIT XMAS 2014","2014-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74975-1.jpg"
"","8-BIT XMAS 2015","2015-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74976-1.jpg"
"","8-BIT XMAS 2016","2016-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74977-1.jpg"
"","8-BIT XMAS 2017","2017-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74978-1.jpg"
"","8-BIT XMAS 2018","Other","2018-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74979-1.jpg"
"","8-BIT XMAS 2019","Other","2019-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74980-1.jpg"
"","8-BIT XMAS 2020","2020-11-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80853-1.jpg"
"","8-BIT XMAS 2021","NTSC-U																		(United States of America)","2021-11-10","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/102170-1.jpg"
"","8-BIT XMAS 2022","NTSC																		(United States of America)","2022-12-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113142-1.jpg"
"","8Bit Music Power","NTSC","2016-01-30","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/46442-1.jpg"
"","8Bit Music Power Encore","NTSC","2017-12-25","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80868-1.jpg"
"","8Bit Music Power Final","NTSC","2017-03-31","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/46444-1.jpg"
"","8Bit Rhythm Land","2019-02-15","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/74981-1.jpg"
"","8Bit RIKI Illustrations","NTSC-J																		(Japan)","2016-04-26","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/80869-1.jpg"
