title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"3-D Maze","","PAL","","","","1982-01-01","1","No","Action","Not Rated","3-D Maze is a simple maze game played from a first person perspective. Similar to other maze games of its time the player uses keyboard controls to moves around the maze one step at a time. The objective of the game is to find three pieces of treasure which are automatically collected when stepped over. Once that has been accomplished the player has to head back to the entrance to finish the game. A timer on the screen shows how long the game has been played."
"3D - Tetris","","PAL","","","","1995-01-01","1","No","Puzzle","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Bat Attack","","PAL","","","","1984-01-01","1","No","Action","Not Rated","D Bat Attack takes place in Transylvania where the player has ended up inside the tower of Count Dracula's castle. There is gold to be collected all over the place but what's worse, there are also numerous vampire bats that roam through the corridors of the tower.

The game is a Pac-Man variant played from a first person perspective. The game consists of a number of mazes connected with a lift that the player can use to travel between them. Throughout the corridors the player will find gold that he has to collect to earn points. He has to watch out for the bats though. If he comes into contact with a bat he will lose one of his lives. There's only one way of protection against the bats, to eat garlic which he has to find in the mazes. When he eats it he becomes immune to the bats for 20 seconds. If he comes into contact with a bat during this time it will be stunned by the smell. Using the lift is also a way to escape the bats. However for each time the lift is used the bats get more vicious. Difficulty level (0–10) and number of bats (1–4) can be configured before starting a game."
"3d Chess","","PAL","United Kingdom of Great Britain and Northern Ireland","","","1986-01-01","2","No","Board","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Combat Zone","","PAL","","","","1983-01-01","1","No","Action","Not Rated","3D Combat Zone is a 1st-person tank hunting game which takes place on a vast plain scattered with pyramids. It transports the player into the valleys of Lacentra, now a battlefield occupied with the spoils of a centenary war battled between two opposite factions. The player is in charge of commanding a special tank and the only left from a vanquished fleet.

The solitary vehicle is equipped with a radar system and provided with a mighty cannon loaded with heavy piercing shells. The cannon is reloaded every time one of the shells hits something or goes through the maximum possible distance. It faces the remnant of the enemy fleet which still commands three types of vehicles: normal tanks, hovering saucers and super tanks.

This game belongs to the pioneering group of games designed for Spectrum which started to use the 3D wire frame technology effectively, maximizing the use of limited resources on an 8 bit machine and structurally inspired by Battlezone."
"3D Construction Kit","","Region Not Set","","Dro Soft","Domark Software","1991-12-01","1","No","Construction and Management Simulation","","Welcome to the 3D Construction Kit. We had often been asked when a Freescape creator would be made, so here it is! It represents a total of four and a half years of actual development, and many more man-years.
The program uses an advanced version of the Freescape 3D System, and will allow you to design and create your own 3D Virtual Worlds. These could be your living room, your office, and ideal home or even a space station!
You may then walk or fly through the three dimensional environment as if you were actually there. Look around, up and down, move forward and back, go inside buildings and even interact with objecs you find. The facilities to make a fully fledged action adventure game are even included: just add imagination...
Most of all, though, just have fun creating, experimenting, colouring and playing in 3D - you can easily lose all track of time.
I hope you enjoy using the 3D Construction Kit as much as we enjoyed creating it.
Have fun!"
"3D Deathchase","Deathchase","Region Not Set","","Micromega","Mervyn Estcourt","1983-01-01","1","No","Action | Racing | Shooter","","Deathchase is a 1983 computer game written for the ZX Spectrum by Mervyn Estcourt and published by Micromega in the UK and Ventamatic in Spain. It is commonly known by the incorrect name of ""3D Deathchase"", perhaps due to the prominent ""3D"" on the inlay, and that some magazines incorrectly referred to this title.
The player controls a motorcycle-riding mercenary as he pursues two other motorcycles, one blue and one yellow, through a forest. Each enemy motorcycle destroyed is worth $1000 (i.e. points) to the player. The player's motorcycle is equipped with forward-firing guns with which to shoot its quarry. The projectiles can be controlled mid-flight simply by steering the bike. If both enemy motorcycles are destroyed, the player moves to a night version of the same level. If both enemy motorcycles on that level are destroyed, the player moves on to a daytime level of the next stage (with more trees to avoid). There are also tanks and helicopters which appear on the horizon and can be shot for bonus points.
The game takes place over eight stages. When stage eight is completed, the game returns to the start."
"3D Defenda","","PAL","United Kingdom of Great Britain and Northern Ireland","","","1983-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"3D Desert Patrol","","PAL","","","","1983-01-01","1","No","Action","Not Rated","The object of 3D Desert Patrol is to reach the safety of a road some distance ahead (depending on difficulty level).

The player is behind the controls of a tank and can drive forward, steer left and right and fire. Mine fields must be successfully navigated with the aid of a sensor and enemy tanks can be avoided or destroyed. There are five levels of difficulty."
"3D Dotty","","PAL","","","","1983-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
