title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Striker Soccer Euro 2012","","Region Not Set","","U-Play Studios","U-Play online","2013-03-19","2","No","Sports","","#1 Sports and Kids games for iPad.
#2 Sports and Kids games for iphone.
#6 Top New Google Play.
More than 5 million downloads.

The acclaimed mobile 3D football simulator arribes to OUYA!

Experience this game like you've never been able before: now you can play with joystick and even play against othet player for a two players match.

Pick your favorite European national team from among the 16 strong nations competing for the ultimate European soccer glory, the Euro Cup 2012 and play to be crowned the champion! Prove you are the best commanding your players on the pitch!

These are the main features you can find in Striker Soccer Eurocup:

- 2 game modes: Friendly match or Eurocup
- Joystick support
- Two players mode with joystick
- You can choose between the 16 national teams participating in Euro 2012.
- Format and schedules similar to Euro Cup 2012: the group stage, the quarter-finals, the semi-finals and the final.
- You can set the best tactic for each game. You have 7 formations available.
- The game offers three levels of difficulty.
- Kids mode for very easy gameplay.
- Full control of your players: shooting, passing and tackling in an easy manner.
- Soccer simulator in full 3D environment."
"Super Crate Box","","Region Not Set","","","vlambeer","2013-06-03","","No","","","No overview is currently available for this title, please feel free to add one."
"Super Mega Worm","","Region Not Set","","","Deceased Pixel","2013-08-05","","No","","","No overview is currently available for this title, please feel free to add one."
"Survival","","Region Not Set","","","Mason Barry","2013-06-03","","No","","","No overview is currently available for this title, please feel free to add one."
"Swindler","","Region Not Set","","Open Mind","Open Mind Gaming","2013-03-22","1","No","Adventure","","Swindler is a fast-paced, arcade-style adventure game, made with Lucid, a two-dimensional Android exclusive, OpenGL game engine. As the dusk is setting in the Land of Aventyr, you glide through a sea of clouds, steering higher and higher into the High Skies. As captain of your crew, you mercilessly kidnap peasants and princesses to sell them for slave labor, a hefty bounty, or as a food ingredient, amassing ludicrous amounts of loot."
"The Ball","","Region Not Set","","","Tripwire Interactive","2013-03-23","","No","Puzzle","","No overview is currently available for this title, please feel free to add one."
"The Bard's Tale","","Region Not Set","","","inXile Entertainment, Inc.","2015-10-05","","No","","T - Teen","No overview is currently available for this title, please feel free to add one."
"The Cave","","Region Not Set","","Double Fine Productions, Inc.","Double Fine Productions, Inc.","2013-12-03","1","No","Adventure","","Descend into the mysterious depths of The Cave in this adventure game from Monkey Island creator Ron Gilbert and Double Fine Productions.

Assemble a team of unlikely adventurers – each with their own unique personalities and stories– and descend into the heart of a sprawling, sentient cave in order to find that which is most important to each of them. The Cave has had millennia to spruce up the place so prepare to dive deep and solve the puzzles hidden within exotic locations including a subterranean amusement park, medieval castle, and fully armed nuclear research facility. The Cave is waiting.

Seven Adventurers, Multiple Paths:

Choose a team of three out of seven explorers and descend into the depths of The Cave. From the Hillbilly to the Time Traveler, all 7 characters have their own unique personalities, special talents, and mysterious motivations for descending into The Cave.

Prolific Pedigree:

Experience the detailed, stunning art style and humor that only Double Fine and Ron Gilbert can dream up."
"The Command & Conquer Saga","","Region Not Set","","EA Games","EA","2007-01-01","1","No","Strategy","M - Mature 17+","No overview is currently available for this title, please feel free to add one."
"The Lost Souls (2013)","The Lost Souls","Region Not Set","","Nuclear Scorpions","Nuclear Scorpions","2013-12-02","1","No","Horror","","The Lost Souls is a “Escape the Room” game style, with HIGH QUALITY GRAPHICS, many scary scenes and some puzzles to Solve. The game is about a unfinished ritual and that becomes the player goal to finish it."
"The Walking Dead: A Telltale Games Series","","Region Not Set","","","Telltale Games","1970-01-01","1","No","Adventure","Not Rated","The Walking Dead is an award-winning vision of Robert Kirkman's global hit comic book series. Experience the true horror and emotional impact of being a survivor of the undead apocalypse in a zombie game unlike any other. You will meet people and experience events that will impact the story of Deputy Sheriff Rick Grimes, and you will be forced to make decisions that are not only tough, but that will have a direct effect on the story that you experience. The undead are everywhere, but they're not your only problem. Starvation, betrayal, heartbreak and more will challenge you as you attempt to survive in the world of The Walking Dead."
"Toto Temple Deluxe!","Toto Temple Deluxe","Other","","Juicy Beast Studio","Juicy Beast","2014-07-01","4","No","Action | Family","E - Everyone","Toto Temple Deluxe is a fast-paced, local-multiplayer party game in which you must steal an egg-laying goat from your friends, and keep it on your head for as long as you can!

Battle your friends or crafty bots in a multitude of unique temples and unleash super-charged power-ups to turn the tide of a round in your favor!

Unleash the chaos in classic free for all mode, create alliances in team battle mode, or blast your friends up in the new Goat Bomb mode!"
"TowerFall","","Region Not Set","","Matt Makes Games","Matt Makes Games","2013-06-23","4","No","Platform","","Enter the land of TowerFall with your friends and engage in the noble and brutal tradition of bow-and-arrow combat. Supports XBox 360 and PlayStation 3 controllers!

TowerFall is an archery combat platformer for up to 4 players. It's a local party game centering around hilarious, intense versus matches. The core mechanics are simple and accessible, but combat is fast and fierce. The focus is on player mastery and friendly rivalry."
"Wind-up Knight","","Region Not Set","","","Robot Invader","2013-07-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Zombies & Trains!","","Region Not Set","","Dragonhead Games","Dragonhead Games","2013-03-31","1","No","Strategy","","Face hordes of zombies in an epic showdown in the arena! Your weapon? TRAINS! Blast through waves of zombies with your powerful iron engines, wreaking havoc with power-ups like Fire Train and Mass Death! How many kills can you rack up?

""This is a title you'll keep coming back to"" -Gamezebo

FEATURES:

- Addictive arcade action!
- 4 awesome game modes.
- Acquire powerful equipment and power-ups!
- Simple pick-up-and-play controls.
- 1080p HD graphics!
- And more!"
"Order &amp; Chaos Online","","Region Not Set","","Gameloft S.A.","Gameloft S.A.","2013-08-01","1","No","Role-Playing | MMO","","Are you ready for a true real-time, full-3D MMORPG ? Join thousands of players, enter the massive experience. ● 5 races available: Elves and Humans fight for Order, Orcs and Undead for Chaos, while Mendels are neutral. ● Choose your gender, appearance, class and talents. Thousands of skills and equipment to discover. ● A wide range of interactions: Make friends or enemies, trade, duel, communicate and more. Fight other experienced players in our open-PvP arenas ● Join a party or guild to become stronger and coordinate with your teammates. ● Over 1200 quests to perform. Hundreds of characters to talk and interact with. ** An Internet connection and a Gameloft LIVE! account (one-step in-game registration) are required to play the game. ** Trailer: YouTube Genre(s): Role-Playing | MMO"
"The Command &amp; Conquer Saga","","Region Not Set","","EA Games","EA","2007-01-01","1","No","Strategy","M - Mature 17+","No overview is currently available for this title, please feel free to add one. ESRB Rating: M - Mature 17+ Genre(s): Strategy"
"Zombies &amp; Trains!","","Region Not Set","","Dragonhead Games","Dragonhead Games","2013-03-31","1","No","Strategy","","Face hordes of zombies in an epic showdown in the arena! Your weapon? TRAINS! Blast through waves of zombies with your powerful iron engines, wreaking havoc with power-ups like Fire Train and Mass Death! How many kills can you rack up? &quot;This is a title you'll keep coming back to&quot; -Gamezebo FEATURES: - Addictive arcade action! - 4 awesome game modes. - Acquire powerful equipment and power-ups! - Simple pick-up-and-play controls. - 1080p HD graphics! - And more! Genre(s): Strategy"
