title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"13 Sentinels: Aegis Rim (Premium Box) [Limited Edition]","Juusan Kihei Boueiken | 十三機兵防衛圏","NTSC-J","Japan","Atlus Co., Ltd.","Vanillaware","2019-11-28","1","No","Adventure | Strategy","T - Teen","In 1980s Japan, thirteen high-schoolers are thrust into a futuristic war between giant robots called ""Sentinels"" and mechanical Kaiju as they must fight to prevent humanity's fate of unavoidable destruction."
"13 Sentinels: Aegis Rim [Artbook Bundle]","","NTSC","United States of America","Atlus U.S.A., Inc. | 																Sega","Vanillaware","2020-09-22","1","No","Action | Adventure | Role-Playing | Strategy","T - Teen","Vanillaware, the storytellers behind Odin Sphere and Dragon’s Crown, craft a sci-fi mystery epic spanning thirteen intertwining stories. Uncover the truth and delve into a 2D sidescrolling adventure featuring gorgeous art and environments. Then, battle the kaiju in fast-paced, top-down combat. Customize the Sentinels with an arsenal of mechsuit weaponry, and fight to defend humanity!

Beautifully rendered in Vanillaware’s signature hand-painted visual style.

Uncover a deep story through visions of the past and the future.

The doomsday clock is ticking. Become a Sentinel pilot, customize your mech, and fight waves of kaiju in top-down tactical combat."
"13 Sentinels: Aegis Rim Prologue [Limited Edition]","","NTSC-J","Japan","Atlus Co., Ltd.","Vanillaware","2019-03-14","1","No","Adventure | Puzzle","T - Teen","""13 Sentinels: Aegis Rim Prologue"" allows the players to play the first three hours of the dramatic adventure game and control all the 13 main characters. However, save data from ""13 Sentinels: Aegis Rim Prologue"" cannot be transferred over to ""13 Sentinels: Aegis Rim"" which is the full game.

Limited Edition contents: PS4 Prologue Game, Music and Art Clips Original Box, Visual Book, Mini Soundtrack CD and DLC (PS4 Theme & Avatar)"
"18 Floors","","Other","","Winking Skywalker Entertainment","Aoga Tech","2018-07-03","1","No","Adventure | Puzzle","T - Teen","18 Floors is a VR experience combining room escape gameplay with puzzle elements. Players are transported to a mystic and foreboding space, where they must complete interconnected puzzles to escape each sealed room. The first episode of the game is comprised of two rooms, the Phantom Room and Sea Express stage."
"1971 Project Helios","","NTSC-U","United States of America","GS2 Games","Recotechnology S.L.","2020-10-20","1","No","Strategy","T - Teen","1971 Project Helios is a turn-based strategy game which combines modern warfare military tactics and close combat. Firearms and vehicles are scarce, conflicts and hostilities have no end, and the terrible freezing cold annihilates friends and foes in its path."
"1979 Revolution: Black Friday","","Region Not Set","","Digerati Distribution","","2018-07-31","1","No","Adventure","T - Teen","Based on true stories and historical events, 1979 Revolution: Black Friday is an interactive drama about choice and consequence, chaos and order."
"198X","","Region Not Set","","","","2019-06-20","1","No","Action | Adventure","E10+ - Everyone 10+","198X is an arcade epic. A coming-of-age story told through multiple games and genres, worlds and characters. Experience the thrill of shooting, driving, jumping, fighting and role-playing – combined with emotional, cinematic storytelling. This is a love letter to the golden age of arcade games – yet with a scope that was never possible in the actual 1980s."
"2064: Read Only Memories","","NTSC","United States of America","Limited Run Games","MidBoss","2017-01-17","1","No","Adventure","M - Mature 17+","Your struggling career as a journalist is salvaged when the world's first spent robot Turing (Melissa Hutchison), recruits you to investigate their creator's kidnapping. Together, you'll encounter colorful locals and maneuver through difficult situations as you delve deeper into the secrets of Neo-San Francisco. How far will you go to expose the dark truths behind the overlapping future of technology and humanity?"
"20XX","","NTSC-U","United States of America","Fire Hose Games","Batterystaple Games","2018-07-10","2","Yes","Shooter | Platform","E10+ - Everyone 10+","20XX is a roguelike action platformer that you can play with a friend. Jump and shoot your way through ever-changing levels, collect awesome new powers, and battle mighty bosses in the name of saving the human race maybe!

20XX features full co-op. Play with a friend on the couch or over the internet!

Features:
- Crisp, precise controls - do exactly what you want your character to!
- Over 100 mighty powerups to collect!
- Tons of different play modes and optional difficulty modifiers!
- Seeded Daily and Weekly Challenges!
- All gameplay features available in both single player and co-op! (online or local)
- Random levels: each time you play 20XX, the stages you play through will be brand new!
- Permanent death: each 20XX playthrough is a self-contained life! Death sends you back to HQ, where you can buy powerful upgrades for future runs. (There's also a Reverent Mode where you get three lives to make it through the game instead of one.)"
"2Dark","","Other","","Bigben Interactive GmbH","Gloomywood","2017-03-10","1","No","Adventure | Stealth | Horror","M - Mature 17+","From Frédérick Raynal, the creator of Alone in the Dark® and pioneer of survival-horror, 2Dark is a grim journey of stealth and courage into the heart of corruption. Use your cunning to infiltrate Gloomywood’s bastions of cruelty. Investigate to uncover the secrets of the deranged psychopaths within, seek retribution for their crimes, and bring the children to safety.

A NEW STEALTH-HORROR ADVENTURE
- A nerve-wracking experience of ruthless consequences with only your wits to guide you.
- Perfect your plan to infiltrate intricately handcrafted levels and escape with the children.
- Stick to the shadows and step carefully. Light and sound can be your allies, and your undoing.
- Supplies are limited. From flashlight batteries to bullets, make every item count.
- Investigate every nook and cranny to expose the sinister secrets behind the abductions.
- Kids will be kids. Stop for too long and they'll fidget and cry, putting both of you in harm's way."
"2Dark [Limited Edition]","","PAL","","","Gloomywood","2017-03-10","1","No","Stealth | Horror","Not Rated","No overview is currently available for this title, please feel free to add one."
"30 Nights: Pineview Drive & Joe's Diner","30 Nights bundle","PAL","United Kingdom of Great Britain and Northern Ireland","UIG Entertainment","UIG Entertainment","1970-01-01","1","No","Horror","E10+ - Everyone 10+","30 Nights: Pineview Drive and Joe's Diner Bundle from UIG Entertainment for the PlayStation 4 is a spine-tingling terror of two classic horror games in one heart-pounding bundle! Uncover the chilling mystery of 'Pineview Drive' as you explore the secrets of an old, abandoned mansion, and then dare to dine at 'Joe's Diner,' built on the grounds of a haunted Indian cemetery.

Pineview Drive: An old abandoned mansion lies at the dead end of Pineview Drive. A troubled man is standing at its gates, looking over the property. 20 years ago he had visited this estate with his wife Linda. During their stay his beloved vanished without a trace – her mysterious disappearance unresolved.

Joe’s Diner: Somewhere along the venerable Route 7, in the middle of nowhere, you will find Joe’s Diner. The old Diner was built on the site of a former Indian cemetery. Amongst the buried, two rival chieftains are laid to rest while alive each could not stand the other."
"35MM","","NTSC-U","United States of America","Limited Run Games","Sergey Noskov","2023-06-02","1","No","Action","M - Mature 17+","Post-apocalyptic story about two travelers who set out on a long journey in the wasteland, left by people after the pandemic. The disaster destroyed much of the world's population, the infrastructure went wrong and everyday life remained only in memories. The times when a human has adapted to the environment for himself have ended and now, in order to survive, he will have to adapt to changes. You will have to play the character whose path runs through the deserted towns and cities in Russia, fields, and forests of a vast country, and even a secret underground facility. Who are we, where are we from and where do we go – we will be lucky to know it only at the end!

This adventure story will let you explore in more detail a number of exciting locations in post-apocalyptic Russia, filled with a variety of items and secrets. During the journey you will collect supplies, food, batteries, and weapons, solve quests, and move forward on the plot, which has several variations in the final, depending on your actions."
"36 Fragments of Midnight","","NTSC-U","United States of America","Ratalaika Games","Petite Games","2017-12-19","1","No","Platform","E - Everyone","This time Midnight's friends lost all of their Star Fragments!

Your task is to find them, and take them back, but it won't be easy. In this procedurally generated platform game, you have to avoid deadly lasers, circular saws and spikes to collect all the Fragments, to get their greatest gift. Do you have what it takes to collect them all?"
"3D Billiards: Billiards & Snooker","","NTSC","United States of America","PQube","Joindots","2018-03-08","2","No","Sports","E - Everyone","With 3D billiards you can enjoy the Ultimate billiards and pool experience in the comfort of your own home! step up to the virtual table and show what you can do with a cue! in addition to the pool Hall classic eight-ball, you can also play nine-ball, ten-ball and even snooker! whether alone against the computer or in a duel against a real player on the same computer, you'll send balls careening across the table in four selectable, highly-detailed rooms as you work your way up the local high score list."
"3D MiniGolf","","Region Not Set","","Merge Games","PQube","2017-08-15","4","No","Sports","E - Everyone","Experience virtual but realistic mini-golf and master an entertaining match on over 54 challenging holes, 18 of which faithfully modelled after official courses in the real world."
"3M Spain Foundation - Stem+VR","","Region Not Set","","","","2019-12-18","1","No","Puzzle","E - Everyone","An educational project of 'Scientific dissemination' to encourage STEM vocation in children.

Includes 4 individual experiences of virtual reality (Science, math, technology and engineering block) to be lived in groups of 3 players (Required)

During each one, children visit different age and scenarios, where they learn specific content to the subject matter (STEM) and meet challenges in a collaborative way.

2GB minimum save size
DUALSHOCK®4
PlayStation®VR Required
PlayStation®Camera Required

Software subject to license (us.playstation.com/softwarelicense). Online features require an account and are subject to terms of service and applicable privacy policy (playstationnetwork.com/terms-of-service & playstationnetwork.com/privacy-policy).

Fundación 3M España"
"3on3 Freestyle","","Other","","JoyCity Entertainment","JoyCity Entertainment","2016-12-06","6","Yes","Sports","Not Rated","Welcome to one of the most competitive but unifying sports in the world - street basketball. Pick your player from a pool of custom-designed, one-of-a-kind characters based on real-life street basketball players, team up with your friends online or in-person, and hit the court to play authentic, fast-paced 3 on 3 street basketball real-time matches against live opponents in settings inspired by the world’s most-revered street basketball venues. Once the ball is tipped, you can take on opponents with the signature, jaw-dropping basketball tricks each character possesses, link up with your teammates for soaring alley-oops and no-look passes, and create your own style which turns you into a street basketball legend."
"41 Hours","","PAL","United Kingdom of Great Britain and Northern Ireland","","","2021-05-21","1","No","Adventure | Shooter","T - Teen","41 Hours is a first-person shooter dramatic game that follows the narrative of Ethan, a workaholic scientist in search of his long-lost wife. The story is intriguing and it takes several surprising turns as it develops over 11 Chapters and 20 hours of gameplay.

You get to master devices which enhance you with super-human abilities:
• Telekinesis (mind manipulation of objects at distance)
• Time manipulation (fast reaction over slow motion)
• Cloaking (invisibility)

In his journey, you get to:
• Use portals for teleportation through the space-time continuum
• Experience extraterrestrial environments
• Fight overwhelming waves of robots and alien-manipulated zombies
• Solve mind-challenging puzzles
While we strived to let our imagination free, we kept a good sense of realism and over countless hours of work, we tried to replicate bullet dynamics, sounds and physics of the 6 real weapons that you can use throughout the game (damage, weapon attachments: scope, lasertag, suppressor, aim down sight)."
