title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Bugs Bunny in Double Trouble","","Region Not Set","","Sega","Probe Entertainment","1996-01-01","","No","Platform","","BUGS BUNNY has dreamed his way into double trouble. A Mad Scientist is after Bugs' brain! To escape, bugs must use the Scientist's Televisor to travel through dreamland and outwit his LOONEY TUNES pals, including DAFFY DUCK, ELMER FUDD, and YOSEMITE SAM. But Bugs' nightmare doesn't end there. Before he can rest, Bugs must rocket to Mars to battle MARVIN THE MARTIAN and his trusty dog K-9. Move fast or... ""That's all Folks!"""
"Bust-A-Move","","Region Not Set","","Taito Corporation","Santos","1995-01-01","1","No","Puzzle","","Which will burst first: your concentration or the level you're working on? It takes more than just swinging the bubble-turret and taking aim on the falling ceiling; tactical planning and mental dexterity are the only way to string together three or more bubbles and 100 wins to make it through all the bubble and ego-bursting rounds of Bust-A-Move!"
"Buster Ball","","Region Not Set","","Riverhill Software Inc.","Riverhill Soft Inc.","1992-03-20","2","No","Action","","Buster Ball is an Action game, published by Riverhillsoft, which was released in Japan in 1992."
"Buster Fight","","Region Not Set","","Sega","SIMS Co., Ltd.","1994-02-11","2","No","Action","","Buster Fight is an Action game, developed by Sims and published by Sega, which was released in Japan in 1994."
"Caesars Palace","","Region Not Set","","Virgin Interactive Entertainment, Inc.","Teeny Weeny Games, Ltd.","1993-01-01","1","No","Strategy","","Caesars Palace stretches your entertainment dollar to the hilt with more casino gaming action than ever before available for GameGear! With lots of games to choose from, you'll experience the pulse-quickening excitement of casino gaming in the world famous Caesars Palace. Special invitation-only VIP tables: Make the big bucks and you may be invited to play with the big boys. One-stop shopping at the ATM machines: Withdraw money, keep track of your winnings and play a scratcher at any of the ATMs scattered throughout the casino."
"Captain America and the Avengers","","Region Not Set","","Mindscape, Inc.","Realtime Associates, Inc.","1993-01-01","","No","Action | Adventure","E - Everyone","Red Skull is back with a sinister mind-control device to command the most evil supervillains on earth against the forces of good. The supervillains want to control the universe! Captain America and the Avengers are the world's last hope in this battle against evil Join Cap, Iron Man, Hawkeye and Vision, as they combine their special powers with your skills in a last ditch effort to defeat Red Skill and his evil henchmen. Succeed, and you're a hero. Fail, and we'll revoke your Avengers security clearance!"
"Car Licence","","NTSC-J","","Mitsubishi Electric","System Vision","1995-01-01","1","No","Education","Not Rated","Car Licence (カーライセンス) is an educational Sega Game Gear game. It was developed to help users pass their driving test."
"Casino FunPak","","Region Not Set","","Interplay Entertainment Corp.","Beam Software","1995-01-01","1","No","Strategy","","Casino FunPak is a Miscellaneous game, developed by Beam Software and published by Interplay, which was released in 1995."
"Castle of Illusion Starring Mickey Mouse","","NTSC-U","","Sega","Sega R&D2","1991-04-26","1","No","Platform","Not Rated","Minnie Mouse has been kidnapped by the evil witch Mizrabel, and it's up to Mickey Mouse to venture through the mysterious worlds of the Castle of Illusion to rescue her in this 2D platformer (and collaboration between Disney and Sega)."
"Chakan","","Region Not Set","","Sega","Extended Play Productions","1992-01-01","","No","Platform","","Chakan is a fairly standard platform game in which you control a dead guy (Chakan has lost his soul) through many levels of hack and slash platforming. The ultimate goal is defeat all the bad-guys and so finally achieve inner-peace."
"Championship Hockey","","Region Not Set","","U.S. Gold Ltd.","Imagitec Design Inc.","1994-01-01","","No","Sports","","Compete in a super realistic ice hockey game with all the frantic action of Championship Hockey - skilful skating, thundering body checks and rifling slap shots. You'll have to skate well to avoid crunching body checks from defenders and out manoeuvre goalkeepers in your quest for The Cup!"
"Chase H.Q.","Taito Chase H.Q.","Region Not Set","","Taito Corporation","Taito Corporation","1991-01-01","1","No","Racing","Not Rated","The fastest, most thrilling, 3D driving game yet! Take the wheel of your turbo-charged Porsche as you and your partner go in pursuit of dangerous criminals all driving an evil array of souped-up roadsters. TURBO BOOST! Need to catch up in a hurry? Well, just one press of your Turbo Button will leave your eyes in the back of your head! Barrelling through the city streets, along the roughest of dirt tracks and through busy tunnels - if you can hold the line! The low-life can run, but they can't hide..."
"Cheese Cat-Astrophe Starring Speedy Gonzales","","Region Not Set","","Sega","Sega","1995-01-01","","No","Platform","","Cheese Cat-Astrophe Starring Speedy Gonzales is a 2D Platformer game, developed and published by Sega, which was released in 1995."
"Chicago Syndicate","","Region Not Set","","Sega","Sega","1995-07-07","1","No","Action","","Chicago 1920: Corruption and violence have taken hold of the city. Six gangster bosses control the streets. Larcen Tyler must singlehandedly take control of Chicago, or die trying!

-Presenting Larcen Tyler, from Eternal Champions, in his best role ever - from expert gangster to clean-up crusader!

-Use Larcen's full range of weapons, and 60 different fighting moves to fight Chicago's toughest gangsters in six territories of the city!

-Your attack plan depends on what's currently happening in each territory. Stay on top of the syndicates next moves through informants and local events to plan your attack strategically!

No game will ever be the same!"
"Choplifter III","","NTSC-U","","Extreme Entertainment Group","Teeny Weeny Games, Ltd.","1995-01-01","2","No","Action","Not Rated","Choplifter III is an Action game, developed by Teeny Weeny Games and published by Extreme Entertainment Group, which was released in 1995."
"Chuck Rock","","Region Not Set","","Sega","Core Design Ltd.","1992-01-01","1","No","Action | Platform","","Once upon a rock, there was a primitive prince charming who was more evoled than the rest. His name: Chuck Rock. It's no wonder Ophelia fell for him like a two-ton boulder. They were living happily ever after until Gary Critter-one of Ophelia's many suitors-decided he had to have the lovely Ophelia for himself. So now it's time for you and Chuck to go Critter-hunting."
"Chuck Rock II: Son of Chuck","Chuck Rock II","Region Not Set","","Virgin Games, Ltd.","Core Design Ltd.","1993-01-01","1","No","Action | Platform","","Eighteen months after his victory over Gary Gritter, Chuck Rock is now the owner of the hugely successful ""Chuck Motors"" and has become a father. Kidnapped by his evil enemy Brick Jagger, Chuck Rock is likely to become Chuck Dust, unless somebody rescues him... A sudden crash as Chuck Junior bursts from his play pen ""Goo Goo Gaa Gaa, I'll be back."""
"CJ Elephant Fugitive","","Region Not Set","","Codemasters","Big Red Software","1991-01-01","2","No","Action","","Accused of a crime he did not commit - CJ Elephant is imprisoned in a Zoo. Using advanced peanut propelling weaponry, an uncanny ability to find explosive charges and a handy umbrella he promptly escapes.

Now he must flee London, push on to Paris, across the Alps and career through Cairo until he finally makes it home to Africa."
"Cliffhanger","","Region Not Set","","Sony Imagesoft","Spidersoft","1994-01-01","1","No","Action","E - Everyone","Based on the white-knuckle action-adventure movie starring Sylvester Stallone, Cliffhanger challenges you to brave thundering avalanches, icy cliffs, and the head-spinning heights of the Rocky Mountains while you combat a vicious group of well-armed, extremely dangerous fugitives. You'll hang on for dear life through exciting levels requiring all your strength and skill just to survive. Experience wild new forms of game play like mountain climbing and cave exploration, along with all the excitement of all the incredible hand-to-hand and armed combat action. The adventure isn't over until you find $100 million in stolen loot, defeat the fugitives, and reunite with your friends!"
