title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Alone in the Dark: Jack is Back","Alone in the Dark: One-Eyed Jack's Revenge | Alone In The Dark 2","PAL","United Kingdom of Great Britain and Northern Ireland","Infogrames","Infogrames","1996-05-03","1","No","Adventure | Horror","T - Teen","The original game's horror theme has been significantly de-emphasized in the sequel. While there are some supernatural goings-on (Voodoo black magic), the main villains are gangsters and pirates. While the enemies are revealed to be possessed by evil spirits, and are green and zombie-like in appearance, they are far from the shambling walking corpses of the first game, and walk, talk, and behave much like ordinary people, arming themselves with Tommy Guns and shouting at the player. The game world is larger than that of the original, encompassing not only the mansion, but also the surrounding gardens as well as a pirate ship hidden in caverns beneath the house.
 
Although much of the game is spent playing as Carnby, the player will occasionally take control of Grace Saunders. Grace, a child, cannot fight and is instantly captured if the gangsters spot her, so instead she must sneak around and defeat the gangsters by turning common household objects into booby traps."
"Alone in the Dark: One-Eyed Jack's Revenge","Alone in the Dark: Jack is Back | Alone In The Dark 2","Region Not Set","","i-Motion","In Utero | 																Infogrames","1996-02-23","1","No","Adventure | Puzzle | Horror","T - Teen","The original game's horror theme has been significantly de-emphasized in the sequel. While there are some supernatural goings-on (Voodoo black magic), the main villains are gangsters and pirates. While the enemies are revealed to be possessed by evil spirits, and are green and zombie-like in appearance, they are far from the shambling walking corpses of the first game, and walk, talk, and behave much like ordinary people, arming themselves with Tommy Guns and shouting at the player. The game world is larger than that of the original, encompassing not only the mansion, but also the surrounding gardens as well as a pirate ship hidden in caverns beneath the house.
 
Although much of the game is spent playing as Carnby, the player will occasionally take control of Grace Saunders. Grace, a child, cannot fight and is instantly captured if the gangsters spot her, so instead she must sneak around and defeat the gangsters by turning common household objects into booby traps."
"Amagi Shien","","NTSC-J","Japan","SUNSOFT","Clip House","1997-02-14","1","No","Adventure","M - Mature 17+","Amagi Shien (天城紫苑) is an adventure game developed by Success for the Sega Saturn. The game partially consists of live action footage."
"America Oudan Ultra Quiz","","NTSC-J","Japan","Victor Entertainment","Pegasus Japan","1995-10-27","4","No","Quiz","E - Everyone","America Oudan Ultra Quiz (アメリカ横断ウルトラクイズ) is a quiz game for the Sega Saturn. The questions are about America but the questions are in Japanese."
"AMOK","","Region Not Set","","Scavenger, Inc. | 																Sega","Lemon","1997-01-17","2","No","Shooter","T - Teen","The object of this arcade-type game is to meet a series of objectives, and to do so in such a way that each side will blame the other. The game has a linear structure, based on levels that present tasks of increasing difficulty, and all sorts of hazards and targets are encountered. These include military bases, power generators, land mines, infantry, tanks, submarines -- even sharks and huge, aggressive birds. Infantry elements are poorly armored, so they can be killed by being run over. In one mission, the only way that the player will be able to get enough time to escape is to open with a surprise attack, slowing pursuit by destroying a parking facility full of unattended troop transport vehicles. Power-ups are scattered throughout the levels. The Slambird carries a variety of explosive devices and line-of-sight weapons. Some of the explosive weapons can bounce in a parabolic trajectory, and in addition there are two laser cannons that can fire rapidly an unlimited number of times. These cannons are useful in case no other weapons remain, and they can be used to create complex ripple fire, which can be used to cover an area that is surprisingly wide. When underwater, propellers are used, while torpedoes are automatically used instead of missiles."
"Andretti Racing","","Region Not Set","","Electronic Arts","High Score Productions | 																Press Start Inc. | 																Stormfront Studios","1996-12-20","2","No","Racing","E - Everyone","Andretti Racing is a Formula One Racing game, developed by Press Start Inc. and published by Electronic Arts, which was released in 1996."
"AnEarth Fantasy Stories: First Volume","","Region Not Set","","Media Works Inc.","Hudson | 																Media Works","1997-03-28","1","No","Role-Playing","E - Everyone","AnEarth Fantasy Stories: The First Volume (エイナスファンタジーストーリーズ ザ・ファーストボリューム) is an RPG for the Sega Saturn. It is based on an earlier PC Engine CD game by Hudson Soft."
"Angel Graffiti S: Anata e no Profile","エンジェルグラフィティ ～あなたへのプロフィール～","Region Not Set","","Coconuts Japan Entertainment Co., Ltd.","Astrovision","1997-07-25","1","No","Life Simulation","E - Everyone","The player character is a high-school sophomore student, whose name, nickname, birth date and blood type is decided by the player at the beginning of the game. One day, while walking through the park, you notice a beautiful girl, but don't really manage to make a good impression on her and she soon goes away. The next day, your homeroom teacher announces you have a new student joining your class ... her name is Misuzu Amano ... the girl you met a day ago in the park. Your luck didn't completely run out as now you will have plenty of time to try and make an impression on her and possibly make her fall in love with you. But she is not the only girl in school that caught your eyes, so you will have to decide who is your person of interest and who you will try to woo. Luckily for you, you are not alone on your quest, you will have a help from heaven itself, an angel by the name Eve, who will often give you advice on girls' feelings."
"Angel Paradise Vol. 1: Sakaki Yuko: Koi no Yokan in Hollywood","","NTSC-J","Japan","Sammy Corporation","Scarab","1996-04-19","1","No","Puzzle","E - Everyone","Angel Paradise Vol. 1: Sakaki Yuko: Koi no Yokan in Hollywood (エンジェルパラダイスVol.1 坂木優子 恋の予感 in Hollywood) is a moving puzzle game for the Sega Saturn."
"Angel Paradise Vol. 2: Eshinu Kimika","","NTSC-J","Japan","Sammy Corporation","Scarab","1996-09-13","1","No","Puzzle","Not Rated","Angel Paradise Vol. 2: Eshinu Kimika is a moving puzzle game by Sammy. The puzzle is a video. You have to match moving puzzle pieces together in order to see the video."
