title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"After... Wasureenu Kizuna","Ａｆｔｅｒ… ～忘れえぬ絆～","NTSC-J","Japan","Ciel | 																Pionesoft","Ciel","2004-02-26","1","No","Adventure","E - Everyone","After... is an adult Japanese visual novel developed by Ciel which was released on June 27, 2003, playable on the PC as a CD or a DVD.The early DVD version includes a guide book and soundtrack CD and the early CD version includes a guide book and a mouse pad. Subsequent enhanced ports to the Dreamcast and to the PlayStation 2 as After... ~Wasureemu Kizuna~ were released. Both ports feature their own exclusive characters and new scenarios not in the original PC release."
"Agartha","","Other","","","No Cliché","2001-03-05","1","No","Horror","Not Rated","Agartha was going to feature a human protagonist, Kirk, and presented a single-player survival horror adventure story.

""During the winter of 1929 in a Romanian village that was partially destroyed by a landslide that occurred during a mysterious earthquake, a subterranean city exists called Agartha. This is where evil is being kept prisoner and is desperate to escape. Kirk the human hero will encounter a series of characters from villages, the living dead, fanatics from an evil sect, monsters, demons, soldier monks, priests, archangels and the Sentinel who is the ultimate personification of evil. As Kirk, you can decide to save as many innocent people as possible or to trigger the arrival of chaos on earth. As Kirk's morals waver between good and evil, this ambiguity changes the aims of the adventure and the narration of the story.""

From the plot synopsis, it can be derived that the player would have had to make moral choices, bringing the game's narration to different conclusions. The role, emphasis, and implementation of combat is unclear, but an online capability was mentioned, featuring deathmatches or team play modes.

The name of the game itself is a city, which, according to esotericist literature, resides in the core of planet earth."
"Aikagi: Hidamari to Kanojo no Heyagi","あいかぎ ～ひだまりと彼女の部屋着～","NTSC-J","Japan","NEC Interchannel","F&C FC02 | 																S-Neo","2003-08-07","1","No","Adventure","M - Mature 17+","Aikagi: Hidamari to Kanojo no Heyagi (あいかぎ ～ひだまりと彼女の部屋着～) is a Visual Novel video game published by NEC Interchannel, S-Neo released on August 7th, 2003 for the SEGA Dreamcast."
"Air","エアー","NTSC-J","Japan","NEC Interchannel","Key","2001-09-20","1","No","Adventure | Life Simulation","E - Everyone","Air for Dreamcast and PlayStation 2 is a console port of an adult visual novel with the same name that was first released as Air as a PC title. This port, however, reduces adult rating and removed all the sexual content, but in turn adjusts the story to those removals and adds new graphics and scenes. Additionally, it includes full voice-acting for non-playable characters (NPCs)."
"Airforce Delta","","NTSC-U","United States of America","Konami","Konami","1999-09-08","1","No","Flight Simulator","E - Everyone","Ever been screaming along at Mach 2 and ordered to drop 6,000 pounds of bombs on a target no bigger than a Yugo? Or get that feeling of multiple bogeys closing in on your tail for a lock-on to blow you out of the sky? You've been contracted by a mercenary group to fuel-up, strap-in and snuff out the enemy. And to sweeten the pot in this ""The more you take out, the more you take home"" deal, you can upgrade your ride, choosing from over 30 different aircraft to get the job done. You in? Then get ready to grab some serious air!"
"Airforce Delta (JP)","","NTSC-J","Japan","Konami","Konami","1999-01-01","1","No","Action | Shooter | Flight Simulator","Not Rated","Airforce Delta (エアフォース デルタ, Eafōsu Deruta), known as Deadly Skies in Europe, is a series of combat flight simulation games developed and published by Konami. The series began in 1999 with Airforce Delta for Dreamcast, with its last main series game being the 2004 Airforce Delta Strike."
"Airforce Delta [Demo Disc]","","NTSC-U","United States of America","Konami","Climax Studios","1999-07-29","1","No","Action","E - Everyone","Players take control of a mercenary that has been contracted to complete a number of strategic military missions. Each mission completed earns the player money, and the more money that is accumulated, the more sophisticated aircraft the player can purchase. Players select from a myriad of fighters and take to the skies to defend a newly independent Republic of Laconia from its many enemies.

The first mission involves a preemptive strike against numerous fighter planes that are planning to bomb the Laconian capital city of Naxos.

The game centers around the Federated Republic of Dzavailar. Ethnic tension and religious debate have caused the Republic to split into independent states. The defenseless Republic of Laconia is in dire need of military support. Rebels from the former Federated Republic of Dzavailar have decided to reunite a territory long divided by ethnic conflict. After years of civil war, Laconia is the only republic left standing and has asked a mercenary defense organization, Airforce Delta, to help keep it from falling to the dreaded unification movement.

As a commissioned lieutenant assigned to the Delta Squadron, the pilot is about to embark on a series of over 20 missions in very hostile territories."
"Akihabara Dennou Kumi Peta Pies!","Akihabara Dennou Gumi Pata Pies! | アキハバラ電脳組　パタＰｉｅｓ！","NTSC-J","Japan","Sega","West One","1999-07-29","1","No","Adventure | Strategy","E - Everyone","A breeding game based by a popular SF school comedy serialized in Kodansha’s shojo manga magazine “Nakayoshi” and aired on TV anime. The player is a first-year student attending Akihabara Junior High School. The purpose is to expand the friend network by letting your pet robot “PataPi” play with your friend PataPi in the game. By “playing” with friends, a fun cartoon-style event occurs. Sub-events such as receiving e-mail are also available. It also supports visual memory, and you can enjoy mini-games where PataPi gives you “fortune-telling” and “tell you”."
"Alice Dreams Tournament (Kickstarter Edition)","","Other","United States of America","","","2017-02-18","4","No","Strategy | Family | Party","Not Rated","No overview is currently available for this title, please feel free to add one."
"Alice Sisters","","NTSC","","","OrionSoft","2020-09-07","1","No","Action | Platform","E10+ - Everyone 10+","No overview is currently available for this title, please feel free to add one."
"Alice's Mom's Rescue","","Other","United States of America","JoshProd","Orion_","2017-01-01","1","No","Action | Adventure","Not Rated","Alice's Mom's Rescue is a puzzle platformer designed with old consoles in mind. You play as Alice, a girl who has to save her mother, abducted by a giant raven. As a white rabbit claims it knows the location of the raven's nest you decide to follow it...

The game features three different worlds with several levels each. Your goal is to reach the exit of the level while avoiding enemy creatures (which can't be killed, and will reduce Alice's hearts — the game's life meter — by one on each contact) or harsh environments (spikes, water or lava, all instantly fatal). In the whole game you deal with locked gates and have to find the matching keys; later worlds will introduce falling platforms that disappear, levers to push in order to open the exit and movable crates that can help Alice reach certain areas. There are two types of mushrooms: one shrinks Alice, the other returns her to the normal size. Mini-Alice can access narrow passageways, but she lacks the force to push crates and her jumps are reduced in height and length. There is no game over, the current level is played from the beginning in case of failure; when starting a new game, it is possible to play from the last stage you previously reached."
"Alien Front Online","ALIENFRONT ONLINE","NTSC-U","United States of America","Sega","WOW Entertainment","2001-08-09","1","No","Action | Shooter","T - Teen","Alien Front Online is a Dreamcast video game originally released for the console in 2001.

In the game, players use armored vehicles to fight tense battles staged in large, interactive arenas. Players could choose which side they wished to fight for, the aliens or the human defenders of Earth, and could also choose one of three different vehicles to combat with; each having its own advantages and disadvantages. Although Alien Front was fully playable for one person, it was primarily designed as an online game in which up to 8 players (up to 4 on each side) could battle it out. Players move around the arena attempting to blast each other with their weaponry, while also looking for power-ups that will enhance their ability to wreak massive destruction. Typically, the game was played for a set number of minutes, after which the team with the most kills would be declared the winners. Being killed while playing the game had no serious consequences (you simply respawned in a different part of the area you were in), but it did reflect on your win/loss score."
"Alone in the Dark: The New Nightmare","","PAL","United Kingdom of Great Britain and Northern Ireland","Infogrames","Darkworks SA","2001-06-22","1","No","Action | Horror","M - Mature 17+","Set on October 31, 2001. Edward Carnby's best friend and partner, Charles Fiske, has been found dead off the coast of Shadow Island, a mysterious island near the coast of Massachusetts. Carnby's investigation quickly leads him to Frederick Johnson, who informs him of Fiske's search for three ancient tablets with the ability to unlock an incredible and dangerous power. Johnson pleads with Carnby to take the place of Fiske and reopen the investigation in order to recover the tablets. Carnby accepts and makes it his mission to find Fiske's killer. Johnson introduces Edward to Aline Cedrac, an intelligent, young university professor. She joins Edward to recover the missing tablets and assist Professor Obed Morton, who she believes to be her father. While flying over the coast of Shadow Island, Edward and Aline's plane comes under attack by an unknown creature. Edward and Aline both jump out of the plane and parachute to the ground, but are separated immediately. Edward lands in the dense forest just outside a manor, while Aline lands on the roof of said manor."
"AM2 of CRI 2001 New Lineup Movie Collection","AM2 of CRI 2001 New Lineup Movie Collection (Japan)","NTSC-J","Japan","Sega","Sega AM2 R&D Division","2000-11-24","1","No","Demo","Not Rated","AM2 of CRI 2001 New Lineup Movie Collection (AM2 2001 ニューラインナップ ムービーコレクション) is a Sega Dreamcast disc featuring footage of AM2 of CRI games set for release in 2001. It was only released in Japan as a pre-order bonus for Fighting Vipers 2, for customers ordering through Dreamcast Direct between 24th November 2000 and 11th January 2001.

The disc contains previews of Shenmue II, Outtrigger and Fighting Vipers 2."
