title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Escape from Cyber City","Freedom Fighter","Region Not Set","","Philips Interactive Media, Inc.","Fathom Pictures","1992-01-01","","No","Action","","The Earth is under attack. The evil Guardian's forces are in control. Only a few continue to resist and only you can help. Your mission is to survive the dangers of CyberCity, fight your way to the train and destroy the Guardian's planet. Beware: things are not what they seem! Escape From CyberCity is the first CD-Interactive action adventure to utilize full cel-animation, giving the player the feel of starring in a fast action motion picture. This beautifully animated production features a dynamic, high impact soundtrack and complete interactive play."
"Family Games","","Region Not Set","","Philips Interactive Media, Inc.","DIMA","1995-01-01","","No","","","Here's a game collection for the whole family. It'll keep EVERYONE glued to the screen for hours! Take your pick - action and adventure, brain teasers or straightforward entertainment. There are ten great games - Full Attack, Jokisen, Where's That Sound, Skid Kart, Captain Alphabet, Draw Stamp Color, SuperSlide, Morphon Invasion, Wizard and Hot Rocks."
"Family Games II: Junk Food Jive","","Region Not Set","","Philips Interactive Media, Inc.","DIMA","1995-01-01","","No","","","If you like to flit around like a fly along dirty food residue, have to fight over the bill with your partner, if you want to invent your own clever pizza topping, have had greater ambitions than smaller people or have painted (yes) your masterpieces on thick place mats, then you will feel quite at home here!"
"Flashback: The Quest for Identity","","Region Not Set","","Philips Interactive Media, Inc.","Tiertex Design Studios","1995-01-01","","No","Action","","You're Conrad B. Hart, Galaxis Bureau of Investigation Agent and right now you're stranded on a far-away planet after discovering an alien plot to overtake Earth. You must travel and find your way through four planets back to Earth and foil the aliens' sinister and deadly plans. This is truly the most explosive and intriguing Flashback experience. And it's gonna rip you right out of your comfortable little century and hurl you smack into a time and place that'll have you begging for a nap!"
"Flintstones & Jetsons: Timewarp","","Region Not Set","","Philips Interactive Media, Inc.","R/GA Interactive","1994-01-01","","No","Adventure","","No overview is currently available for this title, please feel free to add one."
"Foqus","","Region Not Set","","Philips Interactive Media, Inc.","Bildgarden","1994-01-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Frog Feast","","Region Not Set","","OlderGames","RasterSoft","2007-01-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Gardening by Choice: Flowers and Foliage","","Region Not Set","","","","","","No","","","An interactive guide that takes the guesswork out of gardening"
"Girl's Club","","Region Not Set","","Philips Interactive Media, Inc.","POV Entertainment","1992-01-01","","No","Action","","No overview is currently available for this title, please feel free to add one."
"Gnomes","","Region Not Set","","Philips Interactive Media, Inc.","Eagle Vision","1995-01-01","","No","Action","","No overview is currently available for this title, please feel free to add one."
"Go (Special Edition)","","Region Not Set","","OlderGames","Capitol Disc Interactive","2002-01-01","2","No","Puzzle | Strategy","Not Rated","No overview is currently available for this title, please feel free to add one."
"Golden Oldies 1: Guardian and Invaders","","Region Not Set","","SPC Vision","The Vision Factory","1997-01-01","","No","Action","","No overview is currently available for this title, please feel free to add one."
"Golden Oldies 2: Blockbuster and Bughunt","","Region Not Set","","SPC Vision","The Vision Factory","1997-01-01","","No","Action","","No overview is currently available for this title, please feel free to add one."
"Golden Oldies Jukebox","","Region Not Set","","","","1991-01-01","1","No","Music","Not Rated","No overview is currently available for this title, please feel free to add one."
"Golden Oldies Jukebox CD-I : An Interactive Music Video Experience","","Region Not Set","","Philips Interactive Media of America","American Interactive Media","","","No","","","Jump n jam to the bop tunes of the 50's & 60's. The best of the golden oldies and the artists who sang them come alive on your TV screen. Original hits by the original artists with several delux features;Over 50 minutes of re-mastered digital audio*Over one & one half hours of video*Song lyrics cued in sync with music*Song shuffle for random play* Create your own customized playlist for parties or personal listening!"
"Golf My Way","","Region Not Set","","Philips Interactive Media, Inc.","Philips Interactive Media","1994-01-01","","No","Sports","","No overview is currently available for this title, please feel free to add one."
"Golf Tips","","Region Not Set","","Philips Interactive Media, Inc.","Philips Interactive Media","1970-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"Golgo 13","","Region Not Set","","Japan Interactive Media","Japan Interactive Media","1992-01-01","","No","","","Golgo 13 (ゴルゴ13 Gorugo Sātīn?) is a manga series written and illustrated by Takao Saito, published in Shogakukan's Big Comic magazine since October 1968.[1] In 1975, the manga won the 21st Shogakukan Manga Award for general manga.[2] The series follows the titular character, a professional assassin for hire.

Golgo 13 is the oldest manga still in publication, and its tankōbon edition has the third highest number of volumes. It has sold over 280 million copies in various formats, including compilation books, making it the second best-selling manga series in history. It has been adapted into two live-action feature films, an anime film, an original video animation, an anime television series and six video games."
"Great American Golf","","Region Not Set","","XDRA","IContact","1994-01-01","","No","Sports","","No overview is currently available for this title, please feel free to add one."
"Great American Golf 2","","Region Not Set","","XDRA","IContact","1994-01-01","","No","Sports","","No overview is currently available for this title, please feel free to add one."
"Hanna Barbera's Cartoon Carnival","","Region Not Set","","Philips Interactive Media, Inc.","Funhouse","1993-01-01","","No","","","Match colors at Huckleberry Hound's Gift Emporium. Catch balloons at The Flintstone's Balloon Ballyhoo. Rescue Scooby from a haunted maze in Scooby-Doo's Adventure Isle. Snatch silly sounds at Yogi Bear's Pic-a-nic Place. Capture stray satellites in The Jetson's Space Race. Test your knowledge in Top Cat's Top Facts. Win and enjoy a classic cartoon clip in full-motion digital video."
"Harvest of the Sun Vincent Van Gogh Revisited","","Region Not Set","","","","","","No","","","An Interactive Journey through the world of Van Gogh"
"Hotel Mario","","NTSC","United States of America","Philips Interactive Media, Inc.","Philips Fantasy Factory","1994-08-05","1","No","Puzzle","E - Everyone","Bowser has taken over the Mushroom Kingdom, -He's captured Princess Toadstool and is holding her in one of the seven hotels in the kingdom. Only you and Mario can free the Princess but you'll have to battle Koopas, Parabombs, Banzai Bill, Spiney, Monty, Pat the Bat and other nefarious nasties!"
"How To Photograph Nature","","NTSC-U","United States of America","Philips Interactive Media of America","Philips Interactive Media","1992-01-01","1","No","Education","Not Rated","Taking great photographs can be easy.
Expensive equipment is not necessary.
A simple point and shoot camera and the useful tips in this disc are all you need.
Go behind the scenes with the photographers who took the pictures. Ralph Clevenger of the Brooks Institute of Photography shows how to photograph flowers, close-ups, and animals while noted nature photographer Charles Campbell describes his approach to landscapes.
Listen and watch, then just point, shoot, and get ready for the most memorable photographs you’ve ever taken!"
"Inca","","Region Not Set","","Philips Interactive Media, Inc.","Coktel Vision","1993-01-01","","No","Adventure","","No overview is currently available for this title, please feel free to add one."
"Inca II","","Region Not Set","","Philips Interactive Media, Inc.","Vision Games","1994-01-01","","No","Adventure","","No overview is currently available for this title, please feel free to add one."
"International Tennis Open","","Region Not Set","","Philips Interactive Media, Inc.","Infogrames","1993-01-01","","No","Sports","","No overview is currently available for this title, please feel free to add one."
"Jack Sprite Vs The Crimson Ghost","","Region Not Set","","OlderGames","PF Magic","2002-01-01","","No","Action","","No overview is currently available for this title, please feel free to add one."
"Jazz Giants - From Big Band To Bossa Nova","","Region Not Set","","Philips Interactive Media of America","Philips Interactive Media","1992-01-01","1","No","Music","Not Rated","The big Basie beat, the bebop of Charlie Parker. the sass of Sarah Vaughan, the blues of Billie Holiday. Miles Davis’ cool, Stan Getz’s swing. All of these Jazz Giants had monumental impact on the world of music. and the world itself. Experience nineteen great songs in this fully interactive disc, where music fills the air and the lives of these Jazz Giants are at your fingertips.
Artist’s notes offer an illustrated biography on each performer. Liner notes offer information on the songs, the competition, the musicians, sessions stories and technique tips."
"Jazz Guitar : Private Lessons Series","","Region Not Set","","","","","","No","","","This disc contains lessons geared for beginners, intereactive duets, guitar tuner, metronome, automatic page turner, music theory. control the pace of your lessons as you learn guitar with your interactive tutor. this interactive experience also presents a history of jazz guitar."
"Jeopardy!","","Region Not Set","","Philips Interactive Media, Inc.","Philips Interactive Media","1994-01-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Jigsaw","","Region Not Set","","Philips Interactive Media, Inc.","NovaLogic, Inc.","1991-01-01","","No","Puzzle","","No overview is currently available for this title, please feel free to add one."
"Karaoke Klassics: Family Favorites","","Region Not Set","","Philips Interactive Media, Inc.","Xdra","1993-01-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Karaoke Voetbal","","Region Not Set","","Philips Interactive Media, Inc.","IContact","1993-01-01","","No","Music","","No overview is currently available for this title, please feel free to add one."
"Kether","","Region Not Set","","Philips Interactive Media, Inc.","Infogrames","1993-01-01","","No","Action","","No overview is currently available for this title, please feel free to add one."
"Kingdom II: Shadoan","","Region Not Set","","Philips Interactive Media, Inc.","Capitol Disc Interactive","1996-01-01","","No","Adventure","","No overview is currently available for this title, please feel free to add one."
